"Name","Id","CPU","WorkingSet64","Path"
"node","1608","0.046875","50073600","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-KXPmr1\bin\node"
"node","5796","0.0625","50036736","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-WE6okn\bin\node"
"node","7476","0.046875","50126848","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-o0sFoa\bin\node"
"node","7504","12.9375","154255360","C:\Users\Administrator\AppData\Local\pi-node\current\node.exe"
"node","8516","0.140625","50176000","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-etGvSd\bin\node"
"node","9168","0.046875","50098176","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-XfCCsu\bin\node"
"node","10876","128.46875","139599872","C:\Users\Administrator\AppData\Local\pi-node\current\node.exe"
"node","11344","0.046875","50036736","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-GXXsWl\bin\node"
"node","11668","0.046875","50061312","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-S7M4ih\bin\node"
"node","11796","0.484375","55209984","C:\Users\Administrator\AppData\Local\pi-node\current\node.exe"
"node","12404","29.296875","153337856","C:\Users\Administrator\AppData\Local\pi-node\current\node.exe"
"node","12576","420.34375","272723968","C:\Program Files\WindowsApps\Raycast.Raycast_2.1.3.0_x64__qypenmj9wpt2a\Raycast\backend\node.exe"
"node","13232","0.0625","50094080","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-XzYzuq\bin\node"
"node","13628","0.0625","50118656","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-72G6Fs\bin\node"
"node","14956","0.046875","50114560","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-dIQj9Q\bin\node"
"node","17060","13.140625","149716992","C:\Users\Administrator\AppData\Local\pi-node\current\node.exe"
"node","17108","0.078125","50032640","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-Acuxsn\bin\node"
"node","18000","0.0625","50069504","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-UwMB61\bin\node"
"node","18120","0.0625","50143232","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-W5Modv\bin\node"
"node","18368","0.03125","50065408","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-hIgROP\bin\node"
"node","18372","0.03125","50073600","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-WFAoNu\bin\node"
"node","18488","0.0625","50118656","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-n1ST8U\bin\node"
"node","18716","0.0625","50044928","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-k2aLUc\bin\node"
"node","18948","0.046875","49979392","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-CF2Ibe\bin\node"
"node","19108","0.0625","50155520","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-CU9ilv\bin\node"
"node","19156","164.15625","166887424","C:\Users\Administrator\AppData\Local\pi-node\current\node.exe"
"node","19420","0.0625","50065408","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-2u0DU3\bin\node"
"node","19704","0.078125","50049024","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-BDju6z\bin\node"
"node","20092","0.078125","50167808","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-4XrHEh\bin\node"
"node","20784","0.0625","50081792","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-XfCCsu\bin\node"
"node","20808","0.046875","50110464","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-6XnxWC\bin\node"
"node","21240","0.078125","50098176","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-nFallv\bin\node"
"node","21544","0.03125","49983488","C:\Users\Administrator\AppData\Local\Temp\bb-install-script-test-n3lNak\bin\node"
